背番号,選手名,守備,生年月日,年齢,プロ年数,身長,体重,血液型,投打,出身地,推定年俸(万円),2019年所属球団,生年年,生年月,生年日,選手名_球団,選手名_生年月日,出場試合数,出身地域,出身校,高・大フラグ,オリックス,ソフトバンク,ヤクルト,ロッテ,中日,巨人,広島,日ハム,楽天,横浜,西武,阪神,直近10年間月間MVP受賞回数,直近10年間GG受賞回数,最大所属年数,最大所属年数球団,ネックレス太さ,目的変数_ネックレス装着フラグ,外国人フラグ,育成,2019年セパフラグ,最大所属年数球団_adj
14,増田達至,投手,1988-04-23,31,7,180,88,AB型,右右,兵庫,10000,西武,1988,4,23,増田達至_西武,増田達至_1988-04-23,65.0,近畿,福井工大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,西武,0.0,0.0,国内,0,パリーグ,西武
15,大石達也,投手,1988-10-10,31,9,185,92,A型,右左,福岡,1270,西武,1988,10,10,大石達也_西武,大石達也_1988-10-10,2.0,九州,早大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,西武,0.0,0.0,国内,0,パリーグ,西武
17,松本航,投手,1996-11-28,22,1,176,84,AB型,右右,兵庫,1500,西武,1996,11,28,松本航_西武,松本航_1996-11-28,16.0,近畿,日体大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,西武,0.0,0.0,国内,0,パリーグ,西武
18,多和田真三郎,投手,1993-04-13,26,4,182,82,B型,右右,沖縄,8000,西武,1993,4,13,多和田真三郎_西武,多和田真三郎_1993-04-13,12.0,九州,富士大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0,西武,0.0,0.0,国内,0,パリーグ,西武
19,齊藤大将,投手,1995-06-03,24,2,178,75,A型,左左,東京,1600,西武,1995,6,3,齊藤大将_西武,齊藤大将_1995-06-03,9.0,東京,明大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,西武,0.0,0.0,国内,0,パリーグ,西武
20,高木勇人,投手,1989-07-13,30,5,178,90,A型,右右,三重,3230,西武,1989,7,13,高木勇人_西武,高木勇人_1989-07-13,2.0,東海,三重・海星高,高校,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,巨人,0.0,0.0,国内,0,パリーグ,西武
21,十亀剣,投手,1987-11-07,31,8,183,88,O型,右右,愛知,5100,西武,1987,11,7,十亀剣_西武,十亀剣_1987-11-07,19.0,東海,日大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,8.0,西武,0.0,0.0,国内,0,パリーグ,西武
22,中塚駿太,投手,1994-12-26,24,3,191,103,B型,右右,茨城,930,西武,1994,12,26,中塚駿太_西武,中塚駿太_1994-12-26,0.0,関東,白鴎大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,西武,0.0,0.0,国内,0,パリーグ,西武
23,野田昇吾,投手,1993-06-27,26,4,167,71,A型,左左,福岡,3000,西武,1993,6,27,野田昇吾_西武,野田昇吾_1993-06-27,23.0,九州,鹿児島実高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,西武,0.0,0.0,国内,0,パリーグ,西武
25,平井克典,投手,1991-12-20,27,3,180,84,A型,右右,愛知,3500,西武,1991,12,20,平井克典_西武,平井克典_1991-12-20,81.0,東海,愛知産大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,西武,0.0,0.0,国内,0,パリーグ,西武
26,粟津凱士,投手,1997-03-01,22,1,180,80,A型,右右,山形,1000,西武,1997,3,1,粟津凱士_西武,粟津凱士_1997-03-01,1.0,東北,東日本国際大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,西武,0.0,0.0,国内,0,パリーグ,西武
27,内海哲也,投手,1982-04-29,37,16,186,96,A型,左左,京都,10000,西武,1982,4,29,内海哲也_西武,内海哲也_1982-04-29,0.0,近畿,敦賀気比高,高校,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,巨人,0.0,0.0,国内,0,パリーグ,西武
28,森脇亮介,投手,1992-07-13,27,1,175,70,A型,右右,京都,1000,西武,1992,7,13,森脇亮介_西武,森脇亮介_1992-07-13,29.0,近畿,日大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,西武,0.0,0.0,国内,0,パリーグ,西武
29,小石博孝,投手,1987-04-13,32,8,178,85,A型,左左,大分,1330,西武,1987,4,13,小石博孝_西武,小石博孝_1987-04-13,8.0,九州,立正大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,西武,0.0,0.0,国内,0,パリーグ,西武
30,榎田大樹,投手,1986-08-07,33,9,181,89,AB型,左左,鹿児島,5500,西武,1986,8,7,榎田大樹_西武,榎田大樹_1986-08-07,13.0,九州,福岡大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,7.0,阪神,0.0,0.0,国内,0,パリーグ,西武
31,佐藤龍世,内野手,1997-01-15,22,1,174,81,AB型,右右,北海道,600,西武,1997,1,15,佐藤龍世_西武,佐藤龍世_1997-01-15,52.0,北海道,富士大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,西武,0.0,0.0,国内,0,パリーグ,西武
32,永江恭平,内野手,1993-05-07,26,8,174,80,B型,右左,佐賀,1040,西武,1993,5,7,永江恭平_西武,永江恭平_1993-05-07,27.0,九州,長崎・海星高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,西武,0.0,0.0,国内,0,パリーグ,西武
33,山川穂高,内野手,1991-11-23,27,6,176,108,A型,右右,沖縄,11000,西武,1991,11,23,山川穂高_西武,山川穂高_1991-11-23,143.0,九州,富士大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,6.0,西武,2.0,1.0,国内,0,パリーグ,西武
34,佐野泰雄,投手,1993-01-18,26,5,177,83,B型,左左,タイ,1300,西武,1993,1,18,佐野泰雄_西武,佐野泰雄_1993-01-18,44.0,タイ,平成国際大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,西武,0.0,0.0,国外,0,パリーグ,西武
36,伊藤翔,投手,1999-02-10,20,2,177,74,A型,右右,千葉,820,西武,1999,2,10,伊藤翔_西武,伊藤翔_1999-02-10,6.0,関東,横芝敬愛高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,西武,0.0,0.0,国内,0,パリーグ,西武
37,岡田雅利,捕手,1989-06-30,30,6,173,80,B型,右右,奈良,2870,西武,1989,6,30,岡田雅利_西武,岡田雅利_1989-06-30,36.0,近畿,大阪桐蔭高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,西武,0.0,0.0,国内,0,パリーグ,西武
38,牧野翔矢,捕手,2001-03-04,18,1,178,77,B型,右左,石川,600,西武,2001,3,4,牧野翔矢_西武,牧野翔矢_2001-03-04,0.0,北信越,遊学館高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,西武,0.0,0.0,国内,0,パリーグ,西武
39,呉念庭,内野手,1993-06-07,26,4,178,75,AB型,右左,台湾,650,西武,1993,6,7,呉念庭_西武,呉念庭_1993-06-07,0.0,台湾,第一工大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,西武,0.0,0.0,国外,0,パリーグ,西武
40,田村伊知郎,投手,1994-09-19,25,3,173,75,B型,右左,兵庫,700,西武,1994,9,19,田村伊知郎_西武,田村伊知郎_1994-09-19,6.0,近畿,立大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,西武,0.0,0.0,国内,0,パリーグ,西武
41,相内誠,投手,1994-07-23,25,7,185,80,B型,右右,千葉,640,西武,1994,7,23,相内誠_西武,相内誠_1994-07-23,2.0,関東,千葉国際高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,西武,0.0,0.0,国内,0,パリーグ,西武
42,マーティン,投手,1991-01-18,28,2,200,104,不明,右右,アメリカ,9350,西武,1991,1,18,マーティン_西武,マーティン_1991-01-18,41.0,アメリカ,テキサスＡ＆Ｍ大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,西武,0.0,0.0,国外,0,パリーグ,西武
44,小川龍也,投手,1991-09-03,28,10,182,85,A型,左左,千葉,1700,西武,1991,9,3,小川龍也_西武,小川龍也_1991-09-03,55.0,関東,千葉英和高,高校,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,中日,0.0,0.0,国内,0,パリーグ,西武
45,本田圭佑,投手,1993-04-24,26,4,179,80,A型,右右,宮城,650,西武,1993,4,24,本田圭佑_西武,本田圭佑_1993-04-24,16.0,東北,東北学院大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,西武,0.0,0.0,国内,0,パリーグ,西武
46,鈴木将平,外野手,1998-05-20,21,3,175,78,O型,左左,静岡,600,西武,1998,5,20,鈴木将平_西武,鈴木将平_1998-05-20,16.0,東海,静岡高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,西武,0.0,0.0,国内,0,パリーグ,西武
47,カスティーヨ,投手,1989-02-19,30,2,191,113,不明,右右,ドミニカ共和国,3300,西武,1989,2,19,カスティーヨ_西武,カスティーヨ_1989-02-19,0.0,ドミニカ共和国,エクスエラベイシカメルセデスラウラアギアール高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,西武,0.0,0.0,国外,0,パリーグ,西武
48,武隈祥太,投手,1989-11-24,29,12,180,86,A型,左左,北海道,6350,西武,1989,11,24,武隈祥太_西武,武隈祥太_1989-11-24,10.0,北海道,旭川工高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,西武,0.0,0.0,国内,0,パリーグ,西武
50,廖任磊,投手,1993-08-30,26,3,201,125,O型,右右,台湾,600,西武,1993,8,30,廖任磊_西武,廖任磊_1993-08-30,3.0,台湾,台湾・開南大,大学,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,巨人,0.0,0.0,国外,0,パリーグ,西武
51,西川愛也,内野手,1999-06-10,20,2,180,78,A型,右左,大阪,700,西武,1999,6,10,西川愛也_西武,西川愛也_1999-06-10,0.0,近畿,花咲徳栄高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,西武,0.0,0.0,国内,0,パリーグ,西武
52,山田遥楓,内野手,1996-09-30,23,5,179,84,A型,右右,佐賀,650,西武,1996,9,30,山田遥楓_西武,山田遥楓_1996-09-30,4.0,九州,佐賀工高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,西武,1.0,1.0,国内,0,パリーグ,西武
53,愛斗,外野手,1997-04-06,22,4,177,87,O型,右右,大阪,620,西武,1997,4,6,愛斗_西武,愛斗_1997-04-06,42.0,近畿,花咲徳栄高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,西武,1.0,1.0,国内,0,パリーグ,西武
54,ニール,投手,1988-11-09,30,1,191,100,不明,右右,アメリカ,7150,西武,1988,11,9,ニール_西武,ニール_1988-11-09,17.0,アメリカ,オクラホマ大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,西武,0.0,0.0,国外,0,パリーグ,西武
55,秋山翔吾,外野手,1988-04-16,31,9,184,85,A型,右左,神奈川,23500,西武,1988,4,16,秋山翔吾_西武,秋山翔吾_1988-04-16,143.0,関東,八戸大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,5.0,9.0,西武,0.0,0.0,国内,0,パリーグ,西武
56,金子一輝,内野手,1995-05-29,24,6,182,75,B型,右右,神奈川,650,西武,1995,5,29,金子一輝_西武,金子一輝_1995-05-29,0.0,関東,日大藤沢高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,西武,0.0,0.0,国内,0,パリーグ,西武
57,國場翼,投手,1993-12-05,25,4,181,83,O型,右左,沖縄,540,西武,1993,12,5,國場翼_西武,國場翼_1993-12-05,15.0,九州,第一工大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,西武,0.0,0.0,国内,0,パリーグ,西武
58,熊代聖人,外野手,1989-04-18,30,9,175,75,O型,右右,愛媛,1000,西武,1989,4,18,熊代聖人_西武,熊代聖人_1989-04-18,33.0,四国,今治西高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,西武,0.0,0.0,国内,0,パリーグ,西武
59,南川忠亮,投手,1992-01-13,27,4,180,87,A型,右右,香川,770,西武,1992,1,13,南川忠亮_西武,南川忠亮_1992-01-13,1.0,四国,高松工芸高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,西武,0.0,0.0,国内,0,パリーグ,西武
60,中村剛也,内野手,1983-08-15,36,18,175,102,O型,右右,大阪,28000,西武,1983,8,15,中村剛也_西武,中村剛也_1983-08-15,135.0,近畿,大阪桐蔭高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,11.0,西武,0.0,0.0,国内,0,パリーグ,西武
61,平良海馬,投手,1999-11-15,19,2,173,95,O型,右左,沖縄,600,西武,1999,11,15,平良海馬_西武,平良海馬_1999-11-15,26.0,九州,八重山商工高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,西武,0.0,0.0,国内,0,パリーグ,西武
62,駒月仁人,捕手,1993-04-21,26,8,176,93,O型,右右,京都,510,西武,1993,4,21,駒月仁人_西武,駒月仁人_1993-04-21,7.0,近畿,塔南高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,西武,0.0,0.0,国内,0,パリーグ,西武
63,綱島龍生,内野手,2000-01-21,19,2,178,76,A型,右左,新潟,500,西武,2000,1,21,綱島龍生_西武,綱島龍生_2000-01-21,0.0,北信越,糸魚川白嶺高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,西武,0.0,0.0,国内,0,パリーグ,西武
64,中田祥多,捕手,1990-02-22,29,12,182,90,A型,右右,兵庫,570,西武,1990,2,22,中田祥多_西武,中田祥多_1990-02-22,2.0,近畿,鳴門工高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,西武,0.0,0.0,国内,0,パリーグ,西武
65,斉藤彰吾,外野手,1989-05-14,30,12,179,80,B型,左左,埼玉,1500,西武,1989,5,14,斉藤彰吾_西武,斉藤彰吾_1989-05-14,3.0,関東,春日部共栄高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,西武,0.0,0.0,国内,0,パリーグ,西武
66,松本直晃,投手,1990-11-14,28,4,180,85,O型,右右,兵庫,800,西武,1990,11,14,松本直晃_西武,松本直晃_1990-11-14,4.0,近畿,環太平洋大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,西武,0.0,0.0,国内,0,パリーグ,西武
67,藤田航生,投手,1997-12-11,21,4,173,75,O型,左左,青森,500,西武,1997,12,11,藤田航生_西武,藤田航生_1997-12-11,0.0,東北,弘前工高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,西武,0.0,0.0,国内,0,パリーグ,西武
68,ヒース,投手,1985-08-28,34,4,193,112,不明,右右,アメリカ,7700,西武,1985,8,28,ヒース_西武,ヒース_1985-08-28,34.0,アメリカ,テネシー大,大学,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,広島,0.0,0.0,国外,0,パリーグ,西武
69,郭俊麟,投手,1992-02-02,27,5,175,76,不明,右右,台湾,1200,西武,1992,2,2,郭俊麟_西武,郭俊麟_1992-02-02,2.0,台湾,国立台湾体育運動大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,西武,0.0,0.0,国外,0,パリーグ,西武
71,戸川大輔,外野手,1996-04-29,23,5,188,90,B型,右左,北海道,500,西武,1996,4,29,戸川大輔_西武,戸川大輔_1996-04-29,10.0,北海道,北海高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,西武,0.0,0.0,国内,0,パリーグ,西武
72,川越誠司,外野手,1993-06-30,26,4,174,80,A型,左左,北海道,760,西武,1993,6,30,川越誠司_西武,川越誠司_1993-06-30,0.0,北海道,北海学園大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,西武,0.0,0.0,国内,0,パリーグ,西武
73,高木渉,外野手,1999-12-06,19,2,180,77,B型,右左,福岡,500,西武,1999,12,6,高木渉_西武,高木渉_1999-12-06,1.0,九州,真颯館高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,西武,0.0,0.0,国内,0,パリーグ,西武
78,齊藤誠人,捕手,1995-08-07,24,2,180,83,A型,右左,北海道,300,西武,1995,8,7,齊藤誠人_西武,齊藤誠人_1995-08-07,0.0,北海道,北海道教大岩見沢,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,西武,0.0,0.0,国内,0,パリーグ,西武
99,メヒア,内野手,1985-12-02,33,6,198,118,不明,右右,ベネズエラ,50000,西武,1985,12,2,メヒア_西武,メヒア_1985-12-02,75.0,ベネズエラ,サグラドコランソデヘスス高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,西武,0.0,0.0,国外,0,パリーグ,西武
123,髙橋朋己,投手,1988-11-16,30,7,174,90,B型,左左,静岡,2000,西武,1988,11,16,髙橋朋己_西武,髙橋朋己_1988-11-16,0.0,東海,岐阜聖徳学園大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,西武,0.0,0.0,国内,育成,パリーグ,西武
124,與座海人,投手,1995-09-15,24,2,173,78,O型,右右,沖縄,700,西武,1995,9,15,與座海人_西武,與座海人_1995-09-15,0.0,九州,岐阜経大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,西武,0.0,0.0,国内,育成,パリーグ,西武
125,東野葵,投手,1996-11-30,22,1,183,77,B型,左左,福岡,400,西武,1996,11,30,東野葵_西武,東野葵_1996-11-30,0.0,九州,日本経大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,西武,0.0,0.0,国内,育成,パリーグ,西武
126,大窪士夢,投手,2000-08-02,19,1,198,89,A型,右右,北海道,280,西武,2000,8,2,大窪士夢_西武,大窪士夢_2000-08-02,0.0,北海道,北海高,高校,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,西武,0.0,0.0,国内,育成,パリーグ,西武
127,中熊大智,捕手,1996-08-27,23,1,176,87,A型,右左,熊本,400,西武,1996,8,27,中熊大智_西武,中熊大智_1996-08-27,0.0,九州,徳山大,大学,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,西武,0.0,0.0,国内,育成,パリーグ,西武
181,星孝典,捕手,1982-05-04,37,15,175,78,B型,右右,宮城,1000,西武,1982,5,4,星孝典_西武,星孝典_1982-05-04,0.0,東北,東北学院大,大学,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,西武,0.0,0.0,国内,育成,パリーグ,西武
0,川瀬晃,内野手,1997-09-15,22,4,175,64,B型,右左,大分,550,ソフトバンク,1997,9,15,川瀬晃_ソフトバンク,川瀬晃_1997-09-15,29.0,九州,大分商高,高校,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,ソフトバンク,0.0,0.0,国内,0,パリーグ,ソフトバンク
0,髙田知季,内野手,1990-05-06,29,7,176,68,O型,右左,兵庫,2600,ソフトバンク,1990,5,6,髙田知季_ソフトバンク,髙田知季_1990-05-06,93.0,近畿,亜大,大学,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,ソフトバンク,2.0,1.0,国内,0,パリーグ,ソフトバンク
1,内川聖一,内野手,1982-08-04,37,19,185,92,B型,右右,大分,40000,ソフトバンク,1982,8,4,内川聖一_ソフトバンク,内川聖一_1982-08-04,137.0,九州,大分工高,高校,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,9.0,ソフトバンク,3.0,1.0,国内,0,パリーグ,ソフトバンク
2,スチュワート・ジュニア,投手,1999-11-02,19,1,198,101,不明,右右,アメリカ,11000,ソフトバンク,1999,11,2,スチュワート・ジュニア_ソフトバンク,スチュワート・ジュニア_1999-11-02,0.0,アメリカ,東フロリダ州立短大,大学,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ソフトバンク,0.0,0.0,国外,0,パリーグ,ソフトバンク
4,川島慶三,内野手,1983-10-05,36,14,173,75,A型,右右,長崎,7000,ソフトバンク,1983,10,5,川島慶三_ソフトバンク,川島慶三_1983-10-05,47.0,九州,九州国際大,大学,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,ソフトバンク,3.0,1.0,国内,0,パリーグ,ソフトバンク
5,松田宣浩,内野手,1983-05-17,36,14,180,86,B型,右右,滋賀,40000,ソフトバンク,1983,5,17,松田宣浩_ソフトバンク,松田宣浩_1983-05-17,143.0,近畿,亜大,大学,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,ソフトバンク,3.0,1.0,国内,0,パリーグ,ソフトバンク
6,今宮健太,内野手,1991-07-15,28,10,172,76,O型,右右,大分,26000,ソフトバンク,1991,7,15,今宮健太_ソフトバンク,今宮健太_1991-07-15,106.0,九州,明豊高,高校,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,ソフトバンク,2.0,1.0,国内,0,パリーグ,ソフトバンク
7,中村晃,外野手,1989-11-05,29,12,176,85,O型,左左,埼玉,24000,ソフトバンク,1989,11,5,中村晃_ソフトバンク,中村晃_1989-11-05,44.0,関東,帝京高,高校,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,ソフトバンク,0.0,0.0,国内,0,パリーグ,ソフトバンク
8,明石健志,内野手,1986-01-09,33,16,175,66,B型,右左,北海道,10000,ソフトバンク,1986,1,9,明石健志_ソフトバンク,明石健志_1986-01-09,99.0,北海道,山梨学院大付高,高校,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,ソフトバンク,0.0,0.0,国内,0,パリーグ,ソフトバンク
9,柳田悠岐,外野手,1988-10-09,31,9,187,91,AB型,右左,広島,57000,ソフトバンク,1988,10,9,柳田悠岐_ソフトバンク,柳田悠岐_1988-10-09,38.0,中国,広島経大,大学,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,9.0,ソフトバンク,0.0,0.0,国内,0,パリーグ,ソフトバンク
10,大竹耕太郎,投手,1995-06-29,24,2,183,85,A型,左左,熊本,1500,ソフトバンク,1995,6,29,大竹耕太郎_ソフトバンク,大竹耕太郎_1995-06-29,17.0,九州,早大,大学,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,ソフトバンク,0.0,0.0,国内,0,パリーグ,ソフトバンク
11,中田賢一,投手,1982-05-11,37,15,181,82,O型,右右,福岡,6000,ソフトバンク,1982,5,11,中田賢一_ソフトバンク,中田賢一_1982-05-11,1.0,九州,北九州市大,大学,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,ソフトバンク,0.0,0.0,国内,0,パリーグ,ソフトバンク
12,髙谷裕亮,捕手,1981-11-13,37,13,179,87,O型,右左,栃木,3400,ソフトバンク,1981,11,13,髙谷裕亮_ソフトバンク,髙谷裕亮_1981-11-13,55.0,関東,白鴎大,大学,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,ソフトバンク,0.0,0.0,国内,0,パリーグ,ソフトバンク
13,二保旭,投手,1990-05-18,29,11,182,75,B型,右右,福岡,2000,ソフトバンク,1990,5,18,二保旭_ソフトバンク,二保旭_1990-05-18,8.0,九州,九州国際大付高,高校,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,ソフトバンク,2.0,1.0,国内,0,パリーグ,ソフトバンク
